Year,Value,Flag,Flag Description
1961,19000.0,A,Official figure
1962,20000.0,A,Official figure
1963,21000.0,A,Official figure
1964,21000.0,A,Official figure
1965,22000.0,A,Official figure
1966,21000.0,A,Official figure
1967,20000.0,A,Official figure
1968,18000.0,A,Official figure
1969,21000.0,A,Official figure
1970,30000.0,A,Official figure
1971,34710.0,A,Official figure
1972,33630.0,A,Official figure
1973,38460.0,A,Official figure
1974,37910.0,A,Official figure
1975,45150.0,A,Official figure
1976,43390.0,A,Official figure
1977,71700.0,A,Official figure
1978,67170.0,A,Official figure
1979,72960.0,A,Official figure
1980,82440.0,A,Official figure
1981,86980.0,A,Official figure
1982,94170.0,A,Official figure
1983,121310.0,A,Official figure
1984,133860.0,A,Official figure
1985,138020.0,A,Official figure
1986,136010.0,A,Official figure
1987,142840.0,A,Official figure
1988,152000.0,A,Official figure
1989,156120.0,A,Official figure
1990,154000.0,A,Official figure
1991,183000.0,A,Official figure
1992,201600.0,A,Official figure
1993,186200.0,A,Official figure
1994,171200.0,A,Official figure
1995,171000.0,A,Official figure
1996,232500.0,A,Official figure
1997,252000.0,A,Official figure
1998,263000.0,A,Official figure
1999,263200.0,A,Official figure
2000,235000.0,A,Official figure
2001,230000.0,E,Estimated value
2002,268447.28,I,Imputed value
2003,280200.0,A,Official figure
2004,301900.0,A,Official figure
2005,359000.0,A,Official figure
2006,391200.0,A,Official figure
2007,393400.0,A,Official figure
2008,390080.0,A,Official figure
2009,380100.0,A,Official figure
2010,385330.0,A,Official figure
2011,702000.0,A,Official figure
2012,756000.0,A,Official figure
2013,683000.0,A,Official figure
2014,655000.0,A,Official figure
2015,760000.0,A,Official figure
2016,1109000.0,A,Official figure
2017,1070000.0,A,Official figure
2018,1762000.0,A,Official figure
2019,1788000.0,A,Official figure
2020,1868000.0,A,Official figure
2021,2225000.0,A,Official figure
